               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.071184,             0.02966,            0.036209,             0.20626,             0.21997,             0.20359,             0.09399,            0.035147,            0.011643,              0.0273,            0.070341,           0.0032955,           0.0032955
                   1,            0.050094,             0.02485,            0.031254,             0.14517,             0.28103,             0.18477,            0.088954,            0.039414,           0.0076113,            0.024976,            0.040297,            0.006585,            0.006585
                   2,            0.041593,            0.021816,            0.026762,              0.2246,             0.40303,             0.26832,             0.13459,            0.034081,           0.0075226,             0.02126,            0.010209,           0.0098306,           0.0098306
                   3,            0.044675,            0.021999,            0.025236,             0.33166,              0.3883,             0.29026,             0.13574,             0.03261,           0.0080328,            0.023311,            0.009802,            0.009802,            0.009802
                   4,            0.038764,            0.020657,            0.021576,              0.4428,             0.42976,             0.49671,             0.21826,            0.026486,           0.0081393,            0.014956,            0.009802,            0.009802,            0.009802
                   5,            0.036724,            0.021305,            0.022341,             0.38968,             0.53897,             0.34834,             0.14324,            0.030419,           0.0086162,            0.014873,            0.009736,            0.009736,            0.009736
                   6,            0.037132,            0.021625,            0.019962,             0.41081,             0.50342,             0.45794,             0.20935,            0.027833,            0.009143,            0.017284,             0.00967,             0.00967,             0.00967
                   7,            0.034166,            0.020928,            0.020027,             0.55972,             0.55242,             0.58131,              0.2945,            0.030245,           0.0076827,             0.01625,            0.009604,            0.009604,            0.009604
                   8,             0.03508,            0.020852,            0.018032,             0.56406,             0.52947,             0.53878,             0.25326,            0.033731,           0.0075867,           0.0085008,            0.009538,            0.009538,            0.009538
                   9,            0.034869,            0.020805,            0.018873,             0.48832,             0.57454,             0.49681,              0.2177,            0.028093,           0.0079684,           0.0094765,            0.009472,            0.009472,            0.009472
                  10,            0.032377,            0.021274,            0.016492,             0.61542,             0.58717,             0.57782,             0.23409,            0.033676,           0.0080579,            0.014134,            0.009406,            0.009406,            0.009406
                  11,            0.033222,            0.020288,            0.015639,             0.61882,             0.62269,             0.59438,             0.24166,            0.032867,           0.0078514,           0.0081945,             0.00934,             0.00934,             0.00934
                  12,             0.03281,            0.020014,              0.0154,             0.57033,              0.6043,              0.6038,             0.28793,            0.029259,           0.0079629,           0.0092238,            0.009274,            0.009274,            0.009274
                  13,            0.032683,            0.020249,            0.016959,             0.57893,             0.64902,             0.62382,             0.30997,            0.026679,           0.0077618,            0.012984,            0.009208,            0.009208,            0.009208
                  14,            0.034827,            0.020239,            0.016878,             0.51757,             0.56421,             0.56719,              0.2733,            0.028447,           0.0082017,            0.014573,            0.009142,            0.009142,            0.009142
                  15,             0.03243,            0.019592,            0.014925,             0.55671,             0.65149,             0.67949,               0.345,            0.024784,           0.0079081,           0.0069367,            0.009076,            0.009076,            0.009076
                  16,            0.030271,            0.019945,            0.015541,              0.6669,               0.595,             0.61075,             0.30559,            0.025034,           0.0077416,            0.010653,             0.00901,             0.00901,             0.00901
                  17,            0.030615,            0.019967,             0.01541,             0.80278,             0.71627,             0.75412,              0.3391,            0.029747,           0.0076448,           0.0073444,            0.008944,            0.008944,            0.008944
                  18,            0.029055,            0.019213,            0.013582,             0.61352,             0.68981,             0.67403,             0.32889,            0.025975,           0.0077631,           0.0076783,            0.008878,            0.008878,            0.008878
                  19,            0.030244,            0.020182,            0.014634,             0.75836,             0.63904,             0.70791,             0.37038,            0.027325,           0.0073601,           0.0073272,            0.008812,            0.008812,            0.008812
                  20,            0.027662,            0.019324,            0.014057,              0.6926,             0.62302,             0.70752,             0.34353,            0.025858,           0.0076908,           0.0083408,            0.008746,            0.008746,            0.008746
                  21,            0.028503,            0.019614,            0.012789,             0.65427,             0.68972,             0.71113,             0.32995,            0.027993,           0.0075636,           0.0064503,             0.00868,             0.00868,             0.00868
                  22,            0.027434,            0.019264,            0.013263,             0.66554,             0.64741,             0.67422,              0.3565,            0.027752,            0.007281,            0.010431,            0.008614,            0.008614,            0.008614
                  23,            0.028951,            0.019579,            0.012928,             0.72515,             0.79111,             0.77181,             0.39715,            0.026938,           0.0069944,           0.0055224,            0.008548,            0.008548,            0.008548
                  24,            0.027189,            0.019052,            0.011511,             0.75838,             0.73619,             0.74087,             0.41798,            0.026528,            0.006976,           0.0065911,            0.008482,            0.008482,            0.008482
                  25,            0.028501,            0.018588,            0.012493,             0.82171,              0.7206,             0.79651,              0.4397,            0.024463,           0.0070841,             0.00582,            0.008416,            0.008416,            0.008416
                  26,            0.026572,            0.018536,            0.014132,             0.76758,             0.69961,             0.75147,             0.39901,            0.022841,           0.0072248,           0.0054173,             0.00835,             0.00835,             0.00835
                  27,            0.027703,            0.019243,            0.013371,              0.6476,             0.76165,             0.78592,             0.42588,            0.024429,           0.0067318,           0.0055094,            0.008284,            0.008284,            0.008284
                  28,            0.028444,            0.019567,            0.012828,              0.6637,             0.70556,             0.74368,             0.41985,            0.024405,           0.0072584,            0.010332,            0.008218,            0.008218,            0.008218
                  29,            0.025548,            0.019511,            0.012762,             0.79946,             0.75773,             0.82364,             0.43283,            0.024608,           0.0072362,           0.0041183,            0.008152,            0.008152,            0.008152
                  30,            0.027819,            0.019419,            0.013455,             0.66502,             0.67864,             0.74868,             0.38393,            0.024927,           0.0074217,           0.0082495,            0.008086,            0.008086,            0.008086
                  31,            0.026854,            0.018605,            0.011346,             0.79675,              0.7596,             0.78353,             0.42127,            0.024398,           0.0075325,           0.0050164,             0.00802,             0.00802,             0.00802
                  32,            0.027745,             0.01935,            0.011329,             0.69009,             0.68294,             0.73762,             0.39066,            0.025104,           0.0074891,           0.0059951,            0.007954,            0.007954,            0.007954
                  33,            0.028937,            0.018168,              0.0123,             0.79432,             0.75452,             0.75819,             0.42742,             0.02321,           0.0073494,           0.0045047,            0.007888,            0.007888,            0.007888
                  34,            0.026211,            0.019247,            0.011637,             0.73342,             0.72007,             0.75097,             0.41745,            0.024145,           0.0074749,             0.00387,            0.007822,            0.007822,            0.007822
                  35,            0.026287,            0.018887,            0.010451,             0.83986,             0.76205,              0.8114,             0.46066,            0.024239,            0.007004,           0.0040394,            0.007756,            0.007756,            0.007756
                  36,            0.026239,             0.01816,            0.010111,             0.77574,             0.78799,             0.84019,             0.46658,            0.026588,            0.007168,            0.002534,             0.00769,             0.00769,             0.00769
                  37,             0.02561,            0.017939,           0.0093177,             0.83209,             0.76733,             0.84728,              0.4848,            0.023601,           0.0068705,           0.0033873,            0.007624,            0.007624,            0.007624
                  38,            0.026777,            0.018962,           0.0088957,             0.77963,             0.79631,             0.80434,             0.45009,            0.024501,           0.0069876,           0.0052282,            0.007558,            0.007558,            0.007558
                  39,            0.026277,              0.0189,            0.009064,             0.85697,             0.74185,              0.8371,             0.47227,            0.024663,           0.0071944,           0.0034784,            0.007492,            0.007492,            0.007492
                  40,             0.02781,            0.017988,           0.0085059,             0.79425,             0.78009,             0.81645,             0.46125,            0.022356,            0.007077,           0.0033099,            0.007426,            0.007426,            0.007426
                  41,            0.024507,             0.01809,           0.0093014,              0.7996,             0.75938,             0.77331,             0.44376,            0.023164,           0.0071669,            0.004721,             0.00736,             0.00736,             0.00736
                  42,            0.025188,            0.017847,           0.0091314,             0.71886,             0.71063,              0.7726,             0.40665,            0.022911,           0.0073723,           0.0048614,            0.007294,            0.007294,            0.007294
                  43,            0.026756,            0.018658,           0.0097398,             0.80309,              0.7549,             0.81996,             0.46254,            0.023499,           0.0073107,           0.0047326,            0.007228,            0.007228,            0.007228
                  44,            0.027549,            0.018027,            0.011511,             0.74885,             0.75739,             0.78545,             0.45363,            0.024642,             0.00756,           0.0063818,            0.007162,            0.007162,            0.007162
